date,rate
2020-12-08,1367.60 
2020-12-07,1367.01 
2020-12-06,1366.99 
2020-12-05,1366.97 
2020-12-04,1367.67 
2020-12-03,1366.57 
2020-12-02,1367.87 
2020-12-01,1367.16 
2020-11-30,1368.12 
2020-11-29,1368.08 
2020-11-28,1368.04 
2020-11-27,1366.89 
2020-11-26,1367.85 
2020-11-25,1369.42 
2020-11-24,1369.70 
2020-11-23,1368.44 
2020-11-22,1368.40 
2020-11-21,1368.36 
2020-11-20,1368.12 
2020-11-19,1368.59 
2020-11-18,1367.27 
2020-11-17,1366.98 
2020-11-16,1366.74 
2020-11-15,1366.70 
2020-11-14,1366.66 
2020-11-13,1365.78 
2020-11-12,1364.77 
2020-11-11,1366.05 
2020-11-10,1368.93 
2020-11-09,1369.17 
2020-11-08,1369.13 
2020-11-07,1369.09 
2020-11-06,1370.76 
2020-11-05,1368.91 
2020-11-04,1367.05 
2020-11-03,1367.64 
2020-11-02,1370.41 
2020-11-01,1370.38 
2020-10-31,1370.34 
2020-10-30,1371.61 
2020-10-29,1372.39 
2020-10-28,1371.55 
2020-10-27,1372.73 
2020-10-26,1372.33 
2020-10-25,1372.29 
2020-10-24,1372.26 
2020-10-23,1372.03 
2020-10-22,1371.30 
2020-10-21,1373.50 
2020-10-20,1374.64 
2020-10-19,1371.89 
2020-10-18,1371.86 
2020-10-17,1371.82 
2020-10-16,1373.85 
2020-10-15,1372.12 
2020-10-14,1371.70 
2020-10-13,1369.74 
2020-10-12,1370.18 
2020-10-11,1370.14 
2020-10-10,1370.11 
2020-10-09,1370.07 
2020-10-08,1369.97 
2020-10-07,1369.66 
2020-10-06,1372.59 
2020-10-05,1375.62 
2020-10-04,1375.58 
2020-10-03,1375.55 
2020-10-02,1375.52 
2020-10-01,1375.49 
2020-09-30,1375.46 
2020-09-29,1374.93 
2020-09-28,1374.55 
2020-09-27,1374.53 
2020-09-26,1374.50 
2020-09-25,1374.19 
2020-09-24,1372.77 
2020-09-23,1371.93 
2020-09-22,1370.24 
2020-09-21,1370.01 
2020-09-20,1369.98 
2020-09-19,1369.96 
2020-09-18,1370.32 
2020-09-17,1370.93 
2020-09-16,1369.63 
2020-09-15,1368.55 
2020-09-14,1368.08 
2020-09-13,1368.05 
2020-09-12,1368.03 
2020-09-11,1368.96 
2020-09-10,1369.06 
2020-09-09,1367.35 
2020-09-08,1365.23 
2020-09-07,1366.36 
2020-09-06,1366.34 
2020-09-05,1366.31 
2020-09-04,1366.81 
2020-09-03,1366.78 
2020-09-02,1365.09 
2020-09-01,1367.17 
2020-08-31,1369.41 
2020-08-30,1369.36 
2020-08-29,1372.16 
2020-08-28,1372.84 
2020-08-27,1373.55 
2020-08-26,1374.12 
2020-08-25,1372.76 
2020-08-24,1372.76 
2020-08-23,1372.74 
2020-08-22,1372.71 
2020-08-21,1374.73 
2020-08-20,1375.93 
2020-08-19,1376.01 
2020-08-18,1373.98 
2020-08-17,1373.95 
2020-08-16,1373.93 
2020-08-15,1373.91 
2020-08-14,1375.72 
2020-08-13,1374.46 
2020-08-12,1375.61 
2020-08-11,1374.45 
2020-08-10,1376.02 
2020-08-09,1376.04 
2020-08-08,1376.02 
2020-08-07,1376.62 
