date,rate
2020-12-08,1590.04 
2020-12-07,1590.74 
2020-12-06,1590.75 
2020-12-05,1590.77 
2020-12-04,1589.41 
2020-12-03,1591.23 
2020-12-02,1590.26 
2020-12-01,1591.77 
2020-11-30,1590.44 
2020-11-29,1590.46 
2020-11-28,1590.48 
2020-11-27,1591.81 
2020-11-26,1594.18 
2020-11-25,1594.80 
2020-11-24,1592.85 
2020-11-23,1592.68 
2020-11-22,1592.69 
2020-11-21,1592.71 
2020-11-20,1593.42 
2020-11-19,1591.73 
2020-11-18,1591.55 
2020-11-17,1591.33 
2020-11-16,1590.49 
2020-11-15,1590.51 
2020-11-14,1590.53 
2020-11-13,1589.50 
2020-11-12,1591.12 
2020-11-11,1594.66 
2020-11-10,1594.86 
2020-11-09,1596.56 
2020-11-08,1596.57 
2020-11-07,1596.59 
2020-11-06,1594.63 
2020-11-05,1592.43 
2020-11-04,1593.30 
2020-11-03,1596.63 
2020-11-02,1598.18 
2020-11-01,1598.20 
2020-10-31,1598.22 
2020-10-30,1599.20 
2020-10-29,1598.16 
2020-10-28,1599.56 
2020-10-27,1598.82 
2020-10-26,1598.37 
2020-10-25,1598.39 
2020-10-24,1598.41 
2020-10-23,1597.62 
2020-10-22,1600.53 
2020-10-21,1601.96 
2020-10-20,1598.42 
2020-10-19,1600.91 
2020-10-18,1600.92 
2020-10-17,1600.94 
2020-10-16,1598.92 
2020-10-15,1598.49 
2020-10-14,1595.79 
2020-10-13,1596.26 
2020-10-12,1595.90 
2020-10-11,1595.92 
2020-10-10,1595.94 
2020-10-09,1595.95 
2020-10-08,1595.67 
2020-10-07,1599.52 
2020-10-06,1603.63 
2020-10-05,1602.83 
2020-10-04,1602.85 
2020-10-03,1602.87 
2020-10-02,1602.88 
2020-10-01,1602.90 
2020-09-30,1602.92 
2020-09-29,1602.52 
2020-09-28,1601.60 
2020-09-27,1601.62 
2020-09-26,1601.63 
2020-09-25,1599.73 
2020-09-24,1598.85 
2020-09-23,1596.83 
2020-09-22,1596.77 
2020-09-21,1597.10 
2020-09-20,1597.12 
2020-09-19,1597.14 
2020-09-18,1598.17 
2020-09-17,1595.91 
2020-09-16,1594.28 
2020-09-15,1593.83 
2020-09-14,1595.40 
2020-09-13,1595.42 
2020-09-12,1595.43 
2020-09-11,1595.09 
2020-09-10,1592.76 
2020-09-09,1590.00 
2020-09-08,1591.08 
2020-09-07,1591.48 
2020-09-06,1591.50 
2020-09-05,1591.52 
2020-09-04,1591.34 
2020-09-03,1589.22 
2020-09-02,1592.40 
2020-09-01,1595.55 
2020-08-31,1599.39 
2020-08-30,1599.43 
2020-08-29,1600.42 
2020-08-28,1601.20 
2020-08-27,1602.03 
2020-08-26,1600.22 
2020-08-25,1602.77 
2020-08-24,1602.77 
2020-08-23,1602.79 
2020-08-22,1602.81 
2020-08-21,1604.58 
2020-08-20,1604.66 
2020-08-19,1601.48 
2020-08-18,1604.19 
2020-08-17,1604.21 
2020-08-16,1604.22 
2020-08-15,1604.24 
2020-08-14,1602.70 
2020-08-13,1604.64 
2020-08-12,1603.07 
2020-08-11,1605.96 
2020-08-10,1606.81 
2020-08-09,1606.79 
2020-08-08,1606.81 
2020-08-07,1607.24 
2020-08-06,1607.02 
2020-08-05,1606.91 
2020-08-04,1607.59 
2020-08-03,1608.28 
2020-08-02,1608.28 
2020-08-01,1608.27 
2020-07-31,1608.23 
2020-07-30,1606.28 
2020-07-29,1606.46 
2020-07-28,1607.66 
2020-07-27,1606.58 
2020-07-26,1606.57 
2020-07-25,1606.56 
2020-07-24,1605.44 
2020-07-23,1604.35 
2020-07-22,1603.72 
2020-07-21,1604.84 
2020-07-20,1603.85 
2020-07-19,1603.84 
2020-07-18,1603.82 
2020-07-17,1602.64 
2020-07-16,1600.36 
2020-07-15,1600.24 
2020-07-14,1599.71 
2020-07-13,1601.06 
2020-07-12,1601.04 
2020-07-11,1601.11 
2020-07-10,1601.11 
2020-07-09,1602.18 
2020-07-08,1601.53 
2020-07-07,1600.23 
2020-07-06,1601.77 
2020-07-05,1601.76 
2020-07-04,1602.14 
2020-07-03,1602.14 
2020-07-02,1600.70 
2020-07-01,1601.40 
2020-06-30,1602.81 
2020-06-29,1604.59 
2020-06-28,1604.57 
2020-06-27,1604.56 
2020-06-26,1604.11 
2020-06-25,1603.16 
2020-06-24,1602.58 
2020-06-23,1601.62 
2020-06-22,1601.45 
2020-06-21,1601.44 
2020-06-20,1601.42 
2020-06-19,1602.24 
2020-06-18,1600.52 
2020-06-17,1600.49 
2020-06-16,1599.85 
2020-06-15,1601.72 
2020-06-14,1601.71 
2020-06-13,1601.69 
2020-06-12,1601.82 
2020-06-11,1601.68 
2020-06-10,1601.85 
2020-06-09,1598.72 
2020-06-08,1598.16 
2020-06-07,1598.14 
2020-06-06,1598.12 
2020-06-05,1599.52 
2020-06-04,1600.23 
2020-06-03,1603.01 
2020-06-02,1601.26 
2020-06-01,1602.97 
2020-05-31,1602.94 
2020-05-30,1602.90 
2020-05-29,1603.43 
2020-05-28,1603.62 
2020-05-27,1603.42 
2020-05-26,1604.79 
2020-05-25,1603.46 
2020-05-24,1603.43 
2020-05-23,1603.41 
2020-05-22,1602.86 
2020-05-21,1601.95 
2020-05-20,1600.68 
2020-05-19,1600.39 
2020-05-18,1600.39 
2020-05-17,1601.14 
2020-05-16,1601.12 
2020-05-15,1600.84 
2020-05-14,1600.39 
2020-05-13,1598.56 
2020-05-12,1596.30 
2020-05-11,1598.05 
2020-05-10,1598.02 
2020-05-09,1598.00 
2020-05-08,1595.84 
2020-05-07,1593.90 
2020-05-06,1594.52 
2020-05-05,1594.49 
2020-05-04,1592.87 
2020-05-03,1592.85 
2020-05-02,1592.82 
2020-05-01,1592.79 
2020-04-30,1592.76 
2020-04-29,1590.83 
2020-04-28,1589.87 
2020-04-27,1591.88 
2020-04-26,1591.85 
2020-04-25,1591.82 
2020-04-24,1590.77 
2020-04-23,1590.94 
2020-04-22,1594.32 
2020-04-21,1595.10 
2020-04-20,1594.84 
2020-04-19,1594.81 
2020-04-18,1594.78 
2020-04-17,1596.20 
2020-04-16,1594.28 
2020-04-15,1594.25 
2020-04-14,1593.81 
2020-04-13,1595.01 
2020-04-12,1594.98 
2020-04-11,1594.95 
2020-04-10,1594.73 
2020-04-09,1591.34 
2020-04-08,1587.98 
2020-04-07,1588.72 
2020-04-06,1588.39 
2020-04-05,1588.36 
2020-04-04,1588.32 
2020-04-03,1589.79 
2020-04-02,1587.85 
2020-04-01,1588.38 
2020-03-31,1587.00 
2020-03-30,1588.92 
2020-03-29,1588.89 
2020-03-28,1588.86 
2020-03-27,1589.56 
2020-03-26,1584.51 
2020-03-25,1580.28 
2020-03-24,1578.77 
2020-03-23,1583.32 
2020-03-22,1583.28 
2020-03-21,1583.25 
2020-03-20,1581.09 
2020-03-19,1590.96 
2020-03-18,1595.49 
2020-03-17,1591.65 
2020-03-16,1586.27 
2020-03-15,1586.23 
2020-03-14,1586.20 
2020-03-13,1596.84 
2020-03-12,1596.94 
2020-03-11,1596.94 
2020-03-10,1601.90 
2020-03-09,1596.73 
2020-03-08,1596.70 
2020-03-07,1596.67 
2020-03-06,1597.87 
2020-03-05,1600.05 
2020-03-04,1595.33 
2020-03-03,1595.40 
2020-03-02,1597.64 
2020-03-01,1597.60 
2020-02-29,1597.57 
2020-02-28,1591.26 
2020-02-27,1593.83 
2020-02-26,1591.79 
2020-02-25,1593.11 
2020-02-24,1591.42 
2020-02-23,1591.38 
2020-02-22,1591.35 
2020-02-21,1587.39 
2020-02-20,1585.74 
2020-02-19,1585.73 
2020-02-18,1582.95 
2020-02-17,1580.96 
2020-02-16,1580.92 
2020-02-15,1580.88 
2020-02-14,1583.53 
2020-02-13,1582.79 
2020-02-12,1583.36 
2020-02-11,1582.95 
2020-02-10,1583.24 
2020-02-09,1583.20 
2020-02-08,1583.16 
2020-02-07,1582.14 
2020-02-06,1582.45 
2020-02-05,1580.94 
2020-02-04,1584.42 
2020-02-03,1583.70 
2020-02-02,1583.66 
2020-02-01,1583.63 
2020-01-31,1583.80 
2020-01-30,1582.59 
2020-01-29,1581.12 
2020-01-28,1576.12 
2020-01-27,1576.08 
2020-01-26,1576.03 
2020-01-25,1575.99 
2020-01-24,1575.95 
2020-01-23,1574.85 
2020-01-22,1576.71 
2020-01-21,1573.37 
2020-01-20,1574.21 
2020-01-19,1574.16 
2020-01-18,1574.12 
2020-01-17,1575.00 
2020-01-16,1575.89 
2020-01-15,1575.16 
2020-01-14,1573.70 
2020-01-13,1573.05 
2020-01-12,1573.00 
2020-01-11,1572.96 
2020-01-10,1574.50 
2020-01-09,1577.68 
2020-01-08,1578.49 
2020-01-07,1582.21 
2020-01-06,1582.17 
2020-01-05,1582.13 
2020-01-04,1582.09 
2020-01-03,1578.71 
2020-01-02,1576.51 
2020-01-01,1576.47 
2019-12-31,1576.43 
2019-12-30,1575.78 
2019-12-29,1575.74 
2019-12-28,1575.70 
2019-12-27,1577.02 
2019-12-26,1577.15 
2019-12-25,1577.11 
2019-12-24,1576.64 
2019-12-23,1575.50 
2019-12-22,1575.46 
2019-12-21,1575.42 
2019-12-20,1575.85 
2019-12-19,1577.61 
2019-12-18,1577.76 
2019-12-17,1577.81 
2019-12-16,1575.35 
2019-12-15,1575.31 
2019-12-14,1575.27 
2019-12-13,1576.98 
2019-12-12,1576.67 
2019-12-11,1576.54 
2019-12-10,1576.20 
2019-12-09,1574.60 
2019-12-08,1574.56 
2019-12-07,1574.51 
2019-12-06,1575.81 
2019-12-05,1576.24 
2019-12-04,1572.09 
2019-12-03,1573.64 
2019-12-02,1576.66 
2019-12-01,1576.62 
2019-11-30,1576.57 
2019-11-29,1574.69 
2019-11-28,1574.36 
2019-11-27,1572.62 
2019-11-26,1571.53 
2019-11-25,1572.81 
2019-11-24,1572.76 
2019-11-23,1572.71 
2019-11-22,1573.24 
2019-11-21,1574.06 
2019-11-20,1571.38 
2019-11-19,1568.71 
2019-11-18,1568.00 
2019-11-17,1567.95 
2019-11-16,1567.91 
2019-11-15,1568.36 
2019-11-14,1568.22 
2019-11-13,1565.18 
2019-11-12,1567.54 
2019-11-11,1567.28 
2019-11-10,1567.23 
2019-11-09,1567.19 
2019-11-08,1565.30 
2019-11-07,1566.44 
2019-11-06,1566.04 
2019-11-05,1564.73 
2019-11-04,1569.53 
2019-11-03,1569.49 
