date,rate
2020-12-08,1276.14 
2020-12-07,1276.16 
2020-12-06,1276.17 
2020-12-05,1276.19 
2020-12-04,1276.19 
2020-12-03,1276.19 
2020-12-02,1276.21 
2020-12-01,1276.22 
2020-11-30,1276.25 
2020-11-29,1276.26 
2020-11-28,1276.27 
2020-11-27,1276.29 
2020-11-26,1276.31 
2020-11-25,1276.33 
2020-11-24,1276.35 
2020-11-23,1276.38 
2020-11-22,1276.39 
2020-11-21,1276.41 
2020-11-20,1276.43 
2020-11-19,1276.44 
2020-11-18,1276.45 
2020-11-17,1276.46 
2020-11-16,1276.47 
2020-11-15,1276.49 
2020-11-14,1276.50 
2020-11-13,1276.51 
2020-11-12,1276.52 
2020-11-11,1276.54 
2020-11-10,1276.55 
2020-11-09,1276.56 
2020-11-08,1276.58 
2020-11-07,1276.59 
2020-11-06,1276.61 
2020-11-05,1276.62 
2020-11-04,1276.62 
2020-11-03,1276.63 
2020-11-02,1276.64 
2020-11-01,1276.65 
2020-10-31,1276.66 
2020-10-30,1276.66 
2020-10-29,1276.65 
2020-10-28,1276.65 
2020-10-27,1276.66 
2020-10-26,1276.65 
2020-10-25,1276.67 
2020-10-24,1276.68 
2020-10-23,1276.68 
2020-10-22,1276.68 
2020-10-21,1276.68 
2020-10-20,1276.68 
2020-10-19,1276.66 
2020-10-18,1276.68 
2020-10-17,1276.69 
2020-10-16,1276.69 
2020-10-15,1276.70 
2020-10-14,1276.69 
2020-10-13,1276.70 
2020-10-12,1276.70 
2020-10-11,1276.72 
2020-10-10,1276.73 
2020-10-09,1276.74 
2020-10-08,1276.75 
2020-10-07,1276.76 
2020-10-06,1276.79 
2020-10-05,1276.81 
2020-10-04,1276.82 
2020-10-03,1276.84 
2020-10-02,1276.85 
2020-10-01,1276.86 
2020-09-30,1276.87 
2020-09-29,1276.88 
2020-09-28,1276.90 
2020-09-27,1276.91 
2020-09-26,1276.92 
2020-09-25,1276.94 
2020-09-24,1276.97 
2020-09-23,1276.99 
2020-09-22,1277.00 
2020-09-21,1277.02 
2020-09-20,1277.03 
2020-09-19,1277.05 
2020-09-18,1277.06 
2020-09-17,1277.09 
2020-09-16,1277.13 
2020-09-15,1277.15 
2020-09-14,1277.16 
2020-09-13,1277.17 
2020-09-12,1277.18 
2020-09-11,1277.21 
2020-09-10,1277.24 
2020-09-09,1277.25 
2020-09-08,1277.27 
2020-09-07,1277.31 
2020-09-06,1277.32 
2020-09-05,1277.33 
2020-09-04,1277.37 
2020-09-03,1277.39 
2020-09-02,1277.39 
2020-09-01,1277.40 
2020-08-31,1277.42 
2020-08-30,1277.45 
2020-08-29,1277.49 
2020-08-28,1277.50 
2020-08-27,1277.52 
2020-08-26,1277.54 
2020-08-25,1277.56 
2020-08-24,1277.56 
2020-08-23,1277.57 
2020-08-22,1277.59 
2020-08-21,1277.63 
2020-08-20,1277.66 
2020-08-19,1277.67 
2020-08-18,1277.68 
2020-08-17,1277.70 
2020-08-16,1277.71 
2020-08-15,1277.72 
2020-08-14,1277.74 
2020-08-13,1277.76 
2020-08-12,1277.78 
2020-08-11,1277.79 
2020-08-10,1277.83 
2020-08-09,1277.82 
2020-08-08,1277.83 
2020-08-07,1277.85 
2020-08-06,1277.87 
2020-08-05,1277.88 
2020-08-04,1277.90 
2020-08-03,1277.91 
2020-08-02,1277.93 
2020-08-01,1277.94 
2020-07-31,1277.97 
2020-07-30,1277.99 
2020-07-29,1278.00 
2020-07-28,1278.01 
2020-07-27,1278.02 
2020-07-26,1278.04 
2020-07-25,1278.05 
2020-07-24,1278.07 
2020-07-23,1278.07 
2020-07-22,1278.08 
2020-07-21,1278.09 
2020-07-20,1278.10 
2020-07-19,1278.11 
2020-07-18,1278.12 
2020-07-17,1278.14 
2020-07-16,1278.15 
2020-07-15,1278.16 
