date,K-커버드형
2020-05-08,1078.83 
2020-05-07,1078.75 
2020-05-06,1068.84 
2020-05-05,1068.85 
2020-05-04,1082.41 
2020-05-03,1082.43 
2020-05-02,1082.44 
2020-05-01,1082.46 
2020-04-30,1082.47 
2020-04-29,1078.70 
2020-04-28,1074.09 
2020-04-27,1065.44 
2020-04-26,1065.46 
2020-04-25,1065.47 
2020-04-24,1069.79 
2020-04-23,1066.93 
2020-04-22,1062.68 
2020-04-21,1067.96 
2020-04-20,1071.71 
2020-04-19,1071.73 
2020-04-18,1071.75 
2020-04-17,1058.36 
2020-04-16,1058.61 
2020-04-15,1058.62 
2020-04-14,1051.11 
2020-04-13,1059.20 
2020-04-12,1059.22 
2020-04-11,1059.23 
2020-04-10,1053.96 
2020-04-09,1045.47 
2020-04-08,1051.96 
2020-04-07,1043.90 
2020-04-06,1025.33 
2020-04-05,1025.35 
2020-04-04,1025.36 
2020-04-03,1026.16 
2020-04-02,1016.94 
2020-04-01,1037.69 
2020-03-31,1030.30 
2020-03-30,1030.26 
2020-03-29,1030.27 
2020-03-28,1030.29 
2020-03-27,1024.39 
2020-03-26,1030.87 
2020-03-25,1009.25 
2020-03-24,983.33 
2020-03-23,997.09 
2020-03-22,997.10 
2020-03-21,997.12 
2020-03-20,980.14 
2020-03-19,1009.21 
2020-03-18,1027.01 
2020-03-17,1041.43 
2020-03-16,1057.04 
2020-03-15,1057.05 
2020-03-14,1057.06 
2020-03-13,1079.99 
2020-03-12,1101.51 
2020-03-11,1121.22 
2020-03-10,1117.40 
2020-03-09,1152.51 
2020-03-08,1152.53 
2020-03-07,1152.54 
2020-03-06,1171.85 
2020-03-05,1162.00 
2020-03-04,1143.01 
2020-03-03,1139.62 
2020-03-02,1133.21 
2020-03-01,1133.22 
2020-02-29,1133.24 
2020-02-28,1159.82 
2020-02-27,1168.46 
2020-02-26,1181.93 
2020-02-25,1172.15 
2020-02-24,1208.31 
2020-02-23,1208.32 
2020-02-22,1208.34 
2020-02-21,1221.35 
2020-02-20,1225.86 
2020-02-19,1224.26 
2020-02-18,1237.39 
2020-02-17,1237.66 
2020-02-16,1237.67 
2020-02-15,1237.69 
2020-02-14,1233.46 
2020-02-13,1237.92 
2020-02-12,1232.31 
2020-02-11,1225.61 
2020-02-10,1228.84 
2020-02-09,1228.86 
2020-02-08,1228.87 
2020-02-07,1230.53 
2020-02-06,1212.66 
2020-02-05,1208.53 
2020-02-04,1192.14 
2020-02-03,1191.57 
2020-02-02,1191.59 
2020-02-01,1191.60 
2020-01-31,1202.81 
2020-01-30,1218.66 
2020-01-29,1214.24 
2020-01-28,1235.09 
2020-01-27,1235.10 
2020-01-26,1235.12 
2020-01-25,1235.13 
2020-01-24,1235.15 
2020-01-23,1240.81 
2020-01-22,1236.52 
2020-01-21,1240.40 
2020-01-20,1236.36 
2020-01-19,1236.37 
2020-01-18,1236.39 
2020-01-17,1235.49 
2020-01-16,1229.62 
2020-01-15,1232.86 
2020-01-14,1229.02 
2020-01-13,1221.84 
2020-01-12,1221.85 
2020-01-11,1221.86 
2020-01-10,1214.48 
2020-01-09,1199.15 
2020-01-08,1205.12 
2020-01-07,1196.09 
2020-01-06,1203.06 
2020-01-05,1203.07 
2020-01-04,1203.08 
2020-01-03,1201.99 
2020-01-02,1210.97 
2020-01-01,1210.98 
2019-12-31,1210.99 
2019-12-30,1215.27 
2019-12-29,1215.28 
2019-12-28,1215.29 
2019-12-27,1197.35 
2019-12-26,1193.61 
2019-12-25,1193.62 
2019-12-24,1199.95 
2019-12-23,1201.24 
2019-12-22,1201.25 
2019-12-21,1201.27 
2019-12-20,1198.29 
2019-12-19,1197.88 
2019-12-18,1198.35 
2019-12-17,1184.00 
2019-12-16,1185.05 
2019-12-15,1185.06 
2019-12-14,1185.07 
2019-12-13,1169.35 
2019-12-12,1154.26 
2019-12-11,1151.00 
2019-12-10,1146.96 
2019-12-09,1142.73 
2019-12-08,1142.74 
2019-12-07,1142.75 
2019-12-06,1133.27 
2019-12-05,1135.92 
2019-12-04,1142.01 
2019-12-03,1146.20 
2019-12-02,1144.32 
2019-12-01,1144.33 
2019-11-30,1144.34 
2019-11-29,1158.31 
2019-11-28,1162.82 
2019-11-27,1160.42 
2019-11-26,1161.18 
2019-11-25,1152.62 
2019-11-24,1152.63 
2019-11-23,1152.64 
2019-11-22,1148.79 
2019-11-21,1161.32 
2019-11-20,1173.99 
