date,rate
2020-12-08,1231.58 
2020-12-07,1223.60 
2020-12-06,1223.63 
2020-12-05,1223.66 
2020-12-04,1205.99 
2020-12-03,1195.42 
2020-12-02,1175.04 
2020-12-01,1154.52 
2020-11-30,1174.98 
2020-11-29,1175.01 
2020-11-28,1175.04 
2020-11-27,1172.44 
2020-11-26,1160.50 
2020-11-25,1168.52 
2020-11-24,1163.96 
2020-11-23,1139.73 
2020-11-22,1139.75 
2020-11-21,1139.78 
2020-11-20,1138.58 
2020-11-19,1138.14 
2020-11-18,1136.37 
2020-11-17,1136.90 
2020-11-16,1110.77 
2020-11-15,1110.80 
2020-11-14,1110.82 
2020-11-13,1100.82 
2020-11-12,1105.94 
2020-11-11,1090.69 
2020-11-10,1090.89 
2020-11-09,1080.92 
2020-11-08,1080.95 
2020-11-07,1080.97 
2020-11-06,1080.75 
2020-11-05,1054.31 
2020-11-04,1050.41 
2020-11-03,1031.23 
2020-11-02,1016.93 
2020-11-01,1016.95 
2020-10-31,1016.98 
2020-10-30,1046.08 
2020-10-29,1058.08 
2020-10-28,1051.52 
2020-10-27,1057.13 
2020-10-26,1064.50 
2020-10-25,1064.53 
2020-10-24,1064.55 
2020-10-23,1062.68 
2020-10-22,1070.21 
2020-10-21,1067.19 
2020-10-20,1057.22 
2020-10-19,1058.76 
2020-10-18,1058.79 
2020-10-17,1058.81 
2020-10-16,1069.87 
2020-10-15,1074.28 
2020-10-14,1085.44 
2020-10-13,1084.23 
2020-10-12,1081.03 
2020-10-11,1081.05 
2020-10-10,1081.08 
2020-10-09,1081.11 
2020-10-08,1079.60 
2020-10-07,1070.11 
2020-10-06,1066.22 
2020-10-05,1050.29 
2020-10-04,1050.31 
2020-10-03,1050.34 
2020-10-02,1050.36 
2020-10-01,1050.39 
2020-09-30,1050.41 
2020-09-29,1042.16 
2020-09-28,1025.60 
2020-09-27,1025.62 
2020-09-26,1025.64 
2020-09-25,1021.64 
2020-09-24,1048.99 
2020-09-23,1047.92 
2020-09-22,1072.16 
2020-09-21,1083.43 
2020-09-20,1083.46 
2020-09-19,1083.48 
2020-09-18,1080.52 
2020-09-17,1096.97 
2020-09-16,1103.59 
2020-09-15,1096.84 
2020-09-14,1082.62 
2020-09-13,1082.65 
2020-09-12,1082.67 
2020-09-11,1084.11 
2020-09-10,1073.19 
2020-09-09,1083.57 
2020-09-08,1078.32 
2020-09-07,1072.04 
2020-09-06,1072.07 
2020-09-05,1072.09 
2020-09-04,1085.22 
2020-09-03,1071.25 
2020-09-02,1065.30 
2020-09-01,1055.66 
2020-08-31,1069.32 
2020-08-30,1069.37 
2020-08-29,1065.90 
2020-08-28,1076.05 
2020-08-27,1071.42 
2020-08-26,1055.65 
2020-08-25,1041.82 
2020-08-24,1041.82 
2020-08-23,1041.84 
2020-08-22,1041.87 
2020-08-21,1027.12 
2020-08-20,1065.87 
2020-08-19,1059.92 
2020-08-18,1085.63 
2020-08-17,1085.66 
2020-08-16,1085.69 
2020-08-15,1085.71 
2020-08-14,1102.36 
2020-08-13,1103.05 
2020-08-12,1104.93 
2020-08-11,1091.91 
2020-08-10,1076.40 
2020-08-09,1076.37 
2020-08-08,1076.40 
2020-08-07,1067.96 
2020-08-06,1053.72 
2020-08-05,1037.53 
2020-08-04,1027.07 
2020-08-03,1018.36 
2020-08-02,1018.39 
2020-08-01,1018.41 
2020-07-31,1023.34 
2020-07-30,1020.96 
2020-07-29,1018.26 
2020-07-28,999.03 
2020-07-27,989.56 
2020-07-26,989.59 
2020-07-25,989.61 
2020-07-24,998.14 
2020-07-23,997.50 
2020-07-22,999.84 
2020-07-21,985.57 
2020-07-20,988.09 
2020-07-19,988.11 
2020-07-18,988.13 
2020-07-17,978.58 
2020-07-16,991.92 
2020-07-15,985.24 
2020-07-14,989.19 
2020-07-13,975.80 
2020-07-12,975.83 
2020-07-11,979.23 
2020-07-10,979.23 
2020-07-09,971.06 
2020-07-08,971.44 
2020-07-07,981.44 
2020-07-06,965.32 
2020-07-05,965.34 
2020-07-04,957.42 
2020-07-03,957.42 
2020-07-02,941.77 
2020-07-01,945.49 
2020-06-30,941.63 
2020-06-29,960.05 
2020-06-28,960.08 
2020-06-27,960.10 
2020-06-26,951.30 
2020-06-25,972.21 
2020-06-24,960.04 
2020-06-23,957.40 
2020-06-22,958.00 
2020-06-21,958.02 
2020-06-20,958.05 
2020-06-19,952.98 
2020-06-18,956.25 
2020-06-17,954.05 
2020-06-16,905.09 
2020-06-15,952.58 
2020-06-14,952.60 
2020-06-13,952.62 
2020-06-12,973.13 
2020-06-11,982.43 
2020-06-10,979.07 
2020-06-09,978.21 
2020-06-08,978.15 
2020-06-07,978.18 
2020-06-06,978.20 
2020-06-05,965.12 
2020-06-04,963.20 
2020-06-03,942.11 
2020-06-02,933.36 
2020-06-01,915.90 
2020-05-31,915.92 
2020-05-30,915.94 
2020-05-29,915.09 
2020-05-28,920.45 
2020-05-27,921.73 
2020-05-26,908.29 
2020-05-25,896.82 
2020-05-24,896.84 
2020-05-23,896.86 
2020-05-22,907.99 
2020-05-21,903.70 
2020-05-20,897.63 
2020-05-19,881.95 
2020-05-18,881.95 
2020-05-17,878.43 
2020-05-16,878.45 
2020-05-15,876.92 
2020-05-14,881.40 
2020-05-13,873.32 
2020-05-12,877.84 
2020-05-11,882.06 
2020-05-10,882.08 
2020-05-09,882.10 
2020-05-08,874.93 
2020-05-07,875.09 
2020-05-06,860.24 
2020-05-05,860.26 
2020-05-04,883.34 
2020-05-03,883.36 
2020-05-02,883.38 
2020-05-01,883.40 
2020-04-30,883.42 
2020-04-29,877.94 
2020-04-28,873.94 
2020-04-27,860.53 
2020-04-26,860.55 
2020-04-25,860.57 
2020-04-24,871.44 
2020-04-23,863.68 
2020-04-22,854.96 
2020-04-21,862.88 
2020-04-20,869.64 
2020-04-19,869.66 
2020-04-18,869.68 
2020-04-17,846.54 
2020-04-16,844.25 
2020-04-15,844.27 
2020-04-14,830.01 
2020-04-13,846.27 
2020-04-12,846.29 
2020-04-11,846.31 
2020-04-10,839.24 
2020-04-09,827.28 
2020-04-08,836.00 
2020-04-07,823.89 
2020-04-06,794.94 
2020-04-05,794.96 
2020-04-04,794.98 
2020-04-03,795.82 
2020-04-02,777.52 
2020-04-01,812.60 
2020-03-31,793.62 
2020-03-30,794.16 
2020-03-29,794.18 
2020-03-28,794.20 
2020-03-27,780.67 
2020-03-26,794.03 
2020-03-25,757.45 
2020-03-24,696.46 
2020-03-23,732.33 
2020-03-22,732.34 
2020-03-21,732.36 
2020-03-20,681.23 
2020-03-19,737.29 
2020-03-18,776.76 
2020-03-17,792.25 
2020-03-16,821.66 
2020-03-15,821.68 
2020-03-14,821.70 
2020-03-13,846.74 
2020-03-12,878.43 
2020-03-11,906.15 
2020-03-10,899.70 
2020-03-09,940.85 
2020-03-08,940.87 
2020-03-07,940.89 
2020-03-06,960.92 
2020-03-05,950.77 
2020-03-04,929.21 
2020-03-03,925.36 
2020-03-02,915.09 
2020-03-01,915.11 
2020-02-29,915.13 
2020-02-28,946.74 
2020-02-27,960.11 
2020-02-26,973.42 
2020-02-25,961.40 
2020-02-24,998.77 
2020-02-23,998.80 
2020-02-22,998.82 
2020-02-21,1014.41 
2020-02-20,1019.46 
2020-02-19,1016.03 
2020-02-18,1033.32 
2020-02-17,1032.46 
2020-02-16,1032.48 
2020-02-15,1032.50 
2020-02-14,1024.07 
2020-02-13,1025.30 
2020-02-12,1018.55 
2020-02-11,1007.84 
2020-02-10,1012.95 
2020-02-09,1012.98 
2020-02-08,1013.00 
2020-02-07,1020.12 
2020-02-06,993.56 
2020-02-05,992.21 
2020-02-04,972.80 
2020-02-03,971.66 
2020-02-02,971.68 
2020-02-01,971.70 
2020-01-31,985.54 
2020-01-30,1004.89 
2020-01-29,1000.34 
2020-01-28,1032.86 
2020-01-27,1032.88 
2020-01-26,1032.91 
2020-01-25,1032.93 
2020-01-24,1032.96 
2020-01-23,1043.93 
2020-01-22,1029.33 
2020-01-21,1040.73 
2020-01-20,1036.80 
2020-01-19,1036.83 
2020-01-18,1036.85 
2020-01-17,1036.03 
2020-01-16,1026.54 
2020-01-15,1031.74 
2020-01-14,1028.71 
2020-01-13,1018.24 
2020-01-12,1018.26 
2020-01-11,1018.28 
2020-01-10,1008.89 
2020-01-09,989.84 
2020-01-08,999.89 
2020-01-07,990.01 
2020-01-06,999.70 
2020-01-05,999.73 
2020-01-04,999.75 
2020-01-03,999.17 
2020-01-02,1007.75 
2020-01-01,1007.77 
2019-12-31,1007.81 
2019-12-30,1010.10 
2019-12-29,1010.12 
2019-12-28,1010.14 
2019-12-27,990.50 
2019-12-26,985.59 
2019-12-25,985.61 
2019-12-24,992.44 
2019-12-23,994.09 
2019-12-22,994.11 
2019-12-21,994.14 
2019-12-20,990.58 
2019-12-19,991.11 
2019-12-18,991.34 
2019-12-17,976.88 
2019-12-16,978.20 
2019-12-15,978.22 
2019-12-14,978.25 
2019-12-13,962.95 
2019-12-12,948.80 
2019-12-11,944.45 
2019-12-10,940.10 
2019-12-09,935.51 
2019-12-08,935.53 
2019-12-07,935.56 
2019-12-06,925.89 
2019-12-05,928.01 
2019-12-04,935.88 
2019-12-03,940.72 
2019-12-02,938.83 
2019-12-01,938.85 
2019-11-30,938.87 
2019-11-29,950.94 
2019-11-28,955.34 
2019-11-27,953.29 
2019-11-26,953.85 
2019-11-25,944.16 
2019-11-24,944.18 
2019-11-23,944.20 
2019-11-22,941.33 
2019-11-21,954.04 
2019-11-20,968.17 
2019-11-19,970.46 
2019-11-18,970.27 
2019-11-17,970.29 
2019-11-16,970.31 
2019-11-15,958.82 
2019-11-14,951.14 
2019-11-13,956.30 
2019-11-12,946.78 
2019-11-11,954.61 
2019-11-10,954.63 
2019-11-09,954.66 
2019-11-08,958.73 
2019-11-07,961.04 
2019-11-06,960.92 
2019-11-05,958.04 
2019-11-04,947.19 
2019-11-03,947.22 
2019-11-02,947.24 
2019-11-01,939.13 
2019-10-31,936.74 
2019-10-30,943.46 
2019-10-29,942.95 
2019-10-28,942.12 
2019-10-27,942.14 
2019-10-26,942.16 
2019-10-25,941.26 
2019-10-24,936.74 
2019-10-23,942.22 
2019-10-22,930.32 
2019-10-21,927.55 
2019-10-20,927.57 
2019-10-19,927.59 
2019-10-18,934.67 
2019-10-17,936.79 
2019-10-16,930.04 
2019-10-15,929.93 
2019-10-14,922.98 
