date,rate
2020-12-08,1791.62 
2020-12-07,1790.16 
2020-12-06,1790.15 
2020-12-05,1790.13 
2020-12-04,1784.23 
2020-12-03,1779.48 
2020-12-02,1772.10 
2020-12-01,1763.38 
2020-11-30,1772.94 
2020-11-29,1772.92 
2020-11-28,1772.90 
2020-11-27,1771.58 
2020-11-26,1767.88 
2020-11-25,1772.64 
2020-11-24,1770.56 
2020-11-23,1758.42 
2020-11-22,1758.41 
2020-11-21,1758.39 
2020-11-20,1757.43 
2020-11-19,1758.68 
2020-11-18,1757.11 
2020-11-17,1758.37 
2020-11-16,1746.96 
2020-11-15,1746.94 
2020-11-14,1746.93 
2020-11-13,1743.24 
2020-11-12,1744.64 
2020-11-11,1738.53 
2020-11-10,1738.78 
2020-11-09,1733.54 
2020-11-08,1733.52 
2020-11-07,1733.50 
2020-11-06,1735.06 
2020-11-05,1722.73 
2020-11-04,1719.78 
2020-11-03,1711.76 
2020-11-02,1706.33 
2020-11-01,1706.31 
2020-10-31,1706.29 
2020-10-30,1720.31 
2020-10-29,1727.51 
2020-10-28,1724.89 
2020-10-27,1728.90 
2020-10-26,1732.16 
2020-10-25,1732.14 
2020-10-24,1732.13 
2020-10-23,1730.23 
2020-10-22,1730.71 
2020-10-21,1730.51 
2020-10-20,1728.45 
2020-10-19,1725.34 
2020-10-18,1725.32 
2020-10-17,1725.31 
2020-10-16,1729.87 
2020-10-15,1731.20 
2020-10-14,1735.82 
2020-10-13,1734.20 
2020-10-12,1732.99 
2020-10-11,1732.97 
2020-10-10,1732.96 
2020-10-09,1732.94 
2020-10-08,1732.05 
2020-10-07,1727.61 
2020-10-06,1728.79 
2020-10-05,1724.44 
2020-10-04,1724.43 
2020-10-03,1724.41 
2020-10-02,1724.40 
2020-10-01,1724.39 
2020-09-30,1724.37 
2020-09-29,1719.91 
2020-09-28,1712.66 
2020-09-27,1712.65 
2020-09-26,1712.63 
2020-09-25,1709.70 
2020-09-24,1719.00 
2020-09-23,1717.40 
2020-09-22,1726.54 
2020-09-21,1730.35 
2020-09-20,1730.34 
2020-09-19,1730.32 
2020-09-18,1730.14 
2020-09-17,1737.19 
2020-09-16,1739.11 
2020-09-15,1734.70 
2020-09-14,1727.05 
2020-09-13,1727.03 
2020-09-12,1727.01 
2020-09-11,1727.53 
2020-09-10,1721.99 
2020-09-09,1725.27 
2020-09-08,1719.43 
2020-09-07,1717.50 
2020-09-06,1717.49 
2020-09-05,1717.47 
2020-09-04,1725.44 
2020-09-03,1720.49 
2020-09-02,1716.52 
2020-09-01,1714.61 
2020-08-31,1724.30 
2020-08-30,1724.27 
2020-08-29,1723.37 
2020-08-28,1728.11 
2020-08-27,1727.23 
2020-08-26,1719.91 
2020-08-25,1712.95 
2020-08-24,1712.95 
2020-08-23,1712.94 
2020-08-22,1712.93 
2020-08-21,1707.16 
2020-08-20,1726.81 
2020-08-19,1724.43 
2020-08-18,1735.21 
2020-08-17,1735.20 
2020-08-16,1735.18 
2020-08-15,1735.17 
2020-08-14,1742.40 
2020-08-13,1740.66 
2020-08-12,1740.53 
2020-08-11,1733.73 
2020-08-10,1726.98 
2020-08-09,1726.99 
2020-08-08,1726.98 
2020-08-07,1723.20 
2020-08-06,1715.40 
2020-08-05,1708.99 
2020-08-04,1704.59 
2020-08-03,1702.35 
2020-08-02,1702.34 
2020-08-01,1702.33 
2020-07-31,1705.78 
2020-07-30,1702.87 
2020-07-29,1700.25 
2020-07-28,1692.28 
2020-07-27,1687.77 
2020-07-26,1687.76 
2020-07-25,1687.75 
2020-07-24,1691.05 
2020-07-23,1691.54 
2020-07-22,1693.38 
2020-07-21,1689.27 
2020-07-20,1689.10 
2020-07-19,1689.09 
2020-07-18,1689.07 
2020-07-17,1684.49 
2020-07-16,1686.41 
2020-07-15,1681.67 
2020-07-14,1681.76 
2020-07-13,1674.53 
2020-07-12,1674.51 
2020-07-11,1678.21 
2020-07-10,1678.21 
2020-07-09,1675.25 
2020-07-08,1675.71 
2020-07-07,1679.99 
2020-07-06,1673.94 
2020-07-05,1673.93 
2020-07-04,1671.48 
2020-07-03,1671.48 
2020-07-02,1663.77 
2020-07-01,1663.71 
2020-06-30,1660.64 
2020-06-29,1671.10 
2020-06-28,1671.09 
2020-06-27,1671.08 
2020-06-26,1664.54 
2020-06-25,1675.55 
2020-06-24,1667.18 
2020-06-23,1665.41 
2020-06-22,1669.67 
2020-06-21,1669.66 
2020-06-20,1669.64 
2020-06-19,1668.26 
2020-06-18,1667.70 
2020-06-17,1667.68 
2020-06-16,1642.09 
2020-06-15,1668.12 
2020-06-14,1668.10 
2020-06-13,1668.09 
2020-06-12,1681.06 
2020-06-11,1687.41 
2020-06-10,1687.32 
2020-06-09,1684.80 
2020-06-08,1683.76 
2020-06-07,1683.75 
2020-06-06,1683.73 
2020-06-05,1677.01 
2020-06-04,1677.99 
2020-06-03,1665.39 
2020-06-02,1657.45 
2020-06-01,1650.43 
2020-05-31,1650.42 
2020-05-30,1650.41 
2020-05-29,1649.90 
2020-05-28,1651.35 
2020-05-27,1650.75 
2020-05-26,1644.12 
2020-05-25,1637.61 
2020-05-24,1637.60 
2020-05-23,1637.58 
2020-05-22,1644.34 
2020-05-21,1642.04 
2020-05-20,1638.69 
2020-05-19,1626.47 
2020-05-18,1626.47 
2020-05-17,1625.56 
2020-05-16,1625.54 
2020-05-15,1623.48 
2020-05-14,1627.30 
2020-05-13,1621.86 
2020-05-12,1623.92 
2020-05-11,1629.29 
2020-05-10,1629.27 
2020-05-09,1629.25 
2020-05-08,1623.12 
2020-05-07,1621.22 
2020-05-06,1614.66 
2020-05-05,1614.64 
2020-05-04,1626.54 
2020-05-03,1626.52 
2020-05-02,1626.50 
2020-05-01,1626.48 
2020-04-30,1626.46 
2020-04-29,1621.70 
2020-04-28,1618.81 
2020-04-27,1611.23 
2020-04-26,1611.21 
2020-04-25,1611.19 
2020-04-24,1616.90 
2020-04-23,1613.62 
2020-04-22,1611.70 
2020-04-21,1617.33 
2020-04-20,1620.69 
2020-04-19,1620.67 
2020-04-18,1620.65 
2020-04-17,1608.42 
2020-04-16,1607.15 
2020-04-15,1607.13 
2020-04-14,1599.51 
2020-04-13,1610.13 
2020-04-12,1610.11 
2020-04-11,1610.09 
2020-04-10,1605.74 
2020-04-09,1596.18 
2020-04-08,1597.44 
2020-04-07,1590.07 
2020-04-06,1573.04 
2020-04-05,1573.02 
2020-04-04,1573.00 
2020-04-03,1572.88 
2020-04-02,1561.92 
2020-04-01,1579.55 
