date,rate
2020-12-08,1258.59
2020-12-07,1250.69
2020-12-06,1250.71
2020-12-05,1250.73
2020-12-04,1232.75
2020-12-03,1223.14
2020-12-02,1204.42
2020-12-01,1189.18
2020-11-30,1206.34
2020-11-29,1206.35
2020-11-28,1206.37
2020-11-27,1203.58
2020-11-26,1194.28
2020-11-25,1199.43
2020-11-24,1192.55
2020-11-23,1171.82
2020-11-22,1171.84
2020-11-21,1171.86
2020-11-20,1169.8
2020-11-19,1169.7
2020-11-18,1169.38
2020-11-17,1168.87
2020-11-16,1147.25
2020-11-15,1147.27
2020-11-14,1147.29
2020-11-13,1138.56
2020-11-12,1142.24
2020-11-11,1128.61
2020-11-10,1127.07
2020-11-09,1116.58
2020-11-08,1116.6
2020-11-07,1116.62
2020-11-06,1112.72
2020-11-05,1092.29
2020-11-04,1085.65
2020-11-03,1068.06
2020-11-02,1058.44
2020-11-01,1058.45
2020-10-31,1058.47
2020-10-30,1080.98
2020-10-29,1089.39
2020-10-28,1086.09
2020-10-27,1091.65
2020-10-26,1094.75
2020-10-25,1094.77
2020-10-24,1094.79
2020-10-23,1092.62
2020-10-22,1098.13
2020-10-21,1094.34
2020-10-20,1088.67
2020-10-19,1087.75
2020-10-18,1087.77
2020-10-17,1087.78
2020-10-16,1093.76
2020-10-15,1101.53
2020-10-14,1109.1
2020-10-13,1107.84
2020-10-12,1103.5
2020-10-11,1103.51
2020-10-10,1103.53
2020-10-09,1103.55
2020-10-08,1102.13
2020-10-07,1093.6
2020-10-06,1090.22
2020-10-05,1078.41
2020-10-04,1078.43
2020-10-03,1078.45
2020-10-02,1078.46
2020-10-01,1078.48
2020-09-30,1078.5
2020-09-29,1070.58
2020-09-28,1060.35
2020-09-27,1060.36
2020-09-26,1060.38
2020-09-25,1058.72
2020-09-24,1078.47
2020-09-23,1077.7
2020-09-22,1098.21
2020-09-21,1105.33
2020-09-20,1105.35
2020-09-19,1105.37
2020-09-18,1104.66
2020-09-17,1117.16
2020-09-16,1119.53
2020-09-15,1111.81
2020-09-14,1100.36
2020-09-13,1100.38
2020-09-12,1100.4
2020-09-11,1099.47
2020-09-10,1093.27
2020-09-09,1102.29
2020-09-08,1091.44
2020-09-07,1087.96
2020-09-06,1087.97
2020-09-05,1087.99
2020-09-04,1098.64
2020-09-03,1085.21
2020-09-02,1080.27
2020-09-01,1075.04
2020-08-31,1089.25
2020-08-30,1089.29
2020-08-29,1087
2020-08-28,1094.88
2020-08-27,1092.5
2020-08-26,1079.04
2020-08-25,1069.06
2020-08-24,1069.06
2020-08-23,1069.08
2020-08-22,1069.1
2020-08-21,1059.19
2020-08-20,1093.61
2020-08-19,1093.09
2020-08-18,1114.27
2020-08-17,1114.29
2020-08-16,1114.31
2020-08-15,1114.33
2020-08-14,1125.98
2020-08-13,1124.67
2020-08-12,1119.49
2020-08-11,1105.51
2020-08-10,1091.57
2020-08-09,1091.55
2020-08-08,1091.57
2020-08-07,1087.57
2020-08-06,1072.11
2020-08-05,1060.71
2020-08-04,1048.98
