date,date
2020-12-08,1265.00 
2020-12-07,1265.11 
2020-12-06,1265.13 
2020-12-05,1265.15 
2020-12-04,1263.59 
2020-12-03,1262.77 
2020-12-02,1262.92 
2020-12-01,1269.29 
2020-11-30,1261.37 
2020-11-29,1261.39 
2020-11-28,1261.41 
2020-11-27,1262.46 
2020-11-26,1258.79 
2020-11-25,1260.06 
2020-11-24,1258.96 
2020-11-23,1255.37 
2020-11-22,1255.39 
2020-11-21,1255.41 
2020-11-20,1253.91 
2020-11-19,1252.76 
2020-11-18,1251.87 
2020-11-17,1252.87 
2020-11-16,1242.37 
2020-11-15,1242.39 
2020-11-14,1242.42 
2020-11-13,1237.12 
2020-11-12,1238.19 
2020-11-11,1237.09 
2020-11-10,1236.65 
2020-11-09,1233.25 
2020-11-08,1233.27 
2020-11-07,1233.29 
2020-11-06,1232.09 
2020-11-05,1213.55 
2020-11-04,1207.17 
2020-11-03,1189.07 
2020-11-02,1174.17 
2020-11-01,1174.19 
2020-10-31,1174.21 
2020-10-30,1199.92 
2020-10-29,1208.41 
2020-10-28,1205.67 
2020-10-27,1209.63 
2020-10-26,1210.74 
2020-10-25,1210.76 
2020-10-24,1210.78 
2020-10-23,1208.38 
2020-10-22,1212.20 
2020-10-21,1209.94 
2020-10-20,1205.05 
2020-10-19,1201.94 
2020-10-18,1201.96 
2020-10-17,1201.98 
2020-10-16,1206.95 
2020-10-15,1211.94 
2020-10-14,1217.64 
2020-10-13,1215.02 
2020-10-12,1209.81 
2020-10-11,1209.83 
2020-10-10,1209.85 
2020-10-09,1209.87 
2020-10-08,1207.16 
2020-10-07,1198.16 
2020-10-06,1194.69 
2020-10-05,1181.02 
2020-10-04,1181.04 
2020-10-03,1181.06 
2020-10-02,1181.08 
2020-10-01,1181.10 
2020-09-30,1181.12 
2020-09-29,1172.81 
2020-09-28,1158.45 
2020-09-27,1158.47 
2020-09-26,1158.49 
2020-09-25,1154.03 
2020-09-24,1176.17 
2020-09-23,1172.69 
2020-09-22,1190.27 
2020-09-21,1194.29 
2020-09-20,1194.32 
2020-09-19,1194.34 
2020-09-18,1193.18 
2020-09-17,1200.53 
2020-09-16,1201.75 
2020-09-15,1196.92 
2020-09-14,1187.40 
2020-09-13,1187.42 
2020-09-12,1187.44 
2020-09-11,1187.92 
2020-09-10,1176.64 
2020-09-09,1188.91 
2020-09-08,1175.29 
2020-09-07,1169.15 
2020-09-06,1169.17 
2020-09-05,1169.19 
2020-09-04,1183.58 
2020-09-03,1167.99 
2020-09-02,1161.69 
2020-09-01,1153.31 
2020-08-31,1168.94 
