date,rate
2020-12-08,1584.81 
2020-12-07,1584.53 
2020-12-06,1584.51 
2020-12-05,1584.50 
2020-12-04,1584.55 
2020-12-03,1584.05 
2020-12-02,1584.29 
2020-12-01,1584.17 
2020-11-30,1584.28 
2020-11-29,1584.26 
2020-11-28,1584.25 
2020-11-27,1583.90 
2020-11-26,1584.26 
2020-11-25,1584.69 
2020-11-24,1584.90 
2020-11-23,1584.49 
2020-11-22,1584.48 
2020-11-21,1584.46 
2020-11-20,1584.65 
2020-11-19,1585.00 
2020-11-18,1584.48 
2020-11-17,1584.32 
2020-11-16,1584.52 
2020-11-15,1584.50 
2020-11-14,1584.49 
2020-11-13,1584.21 
2020-11-12,1583.57 
2020-11-11,1583.71 
2020-11-10,1584.62 
2020-11-09,1584.81 
2020-11-08,1584.79 
2020-11-07,1584.77 
2020-11-06,1585.45 
2020-11-05,1584.44 
2020-11-04,1583.48 
2020-11-03,1583.66 
2020-11-02,1584.84 
2020-11-01,1584.83 
2020-10-31,1584.81 
2020-10-30,1585.28 
2020-10-29,1585.67 
2020-10-28,1585.47 
2020-10-27,1585.73 
2020-10-26,1585.60 
2020-10-25,1585.58 
2020-10-24,1585.57 
2020-10-23,1585.20 
2020-10-22,1584.83 
2020-10-21,1585.49 
2020-10-20,1586.22 
2020-10-19,1586.21 
2020-10-18,1586.20 
2020-10-17,1586.18 
2020-10-16,1586.89 
2020-10-15,1586.00 
2020-10-14,1585.16 
2020-10-13,1584.94 
2020-10-12,1585.66 
2020-10-11,1585.65 
2020-10-10,1585.63 
2020-10-09,1585.62 
2020-10-08,1585.34 
2020-10-07,1585.38 
2020-10-06,1586.29 
2020-10-05,1587.57 
2020-10-04,1587.55 
2020-10-03,1587.54 
2020-10-02,1587.53 
2020-10-01,1587.52 
2020-09-30,1587.50 
2020-09-29,1587.51 
2020-09-28,1587.09 
2020-09-27,1587.08 
2020-09-26,1587.07 
2020-09-25,1587.03 
2020-09-24,1585.80 
2020-09-23,1585.31 
2020-09-22,1585.02 
2020-09-21,1584.96 
2020-09-20,1584.94 
2020-09-19,1584.93 
2020-09-18,1584.73 
2020-09-17,1584.66 
2020-09-16,1584.76 
2020-09-15,1584.29 
2020-09-14,1583.82 
2020-09-13,1583.81 
2020-09-12,1583.79 
2020-09-11,1584.33 
2020-09-10,1584.38 
2020-09-09,1583.32 
2020-09-08,1582.26 
2020-09-07,1583.46 
2020-09-06,1583.45 
2020-09-05,1583.43 
2020-09-04,1583.95 
2020-09-03,1584.12 
2020-09-02,1582.63 
2020-09-01,1583.29 
2020-08-31,1585.05 
2020-08-30,1585.02 
2020-08-29,1586.33 
2020-08-28,1587.00 
2020-08-27,1587.39 
2020-08-26,1587.42 
2020-08-25,1586.39 
2020-08-24,1586.39 
2020-08-23,1586.38 
2020-08-22,1586.36 
2020-08-21,1587.75 
2020-08-20,1588.09 
2020-08-19,1588.02 
2020-08-18,1587.31 
2020-08-17,1587.30 
2020-08-16,1587.29 
2020-08-15,1587.28 
2020-08-14,1587.87 
2020-08-13,1587.50 
2020-08-12,1587.85 
