date,rate
2020-12-08,1693.41 
2020-12-07,1688.03 
2020-12-06,1688.05 
2020-12-05,1688.07 
2020-12-04,1670.25 
2020-12-03,1664.34 
2020-12-02,1647.65 
2020-12-01,1633.31 
2020-11-30,1647.09 
2020-11-29,1647.11 
2020-11-28,1647.13 
2020-11-27,1645.74 
2020-11-26,1636.90 
2020-11-25,1643.21 
2020-11-24,1636.76 
2020-11-23,1616.02 
2020-11-22,1616.04 
2020-11-21,1616.06 
2020-11-20,1614.43 
2020-11-19,1613.58 
2020-11-18,1614.21 
2020-11-17,1614.20 
2020-11-16,1594.54 
2020-11-15,1594.56 
2020-11-14,1594.58 
2020-11-13,1584.26 
2020-11-12,1589.28 
2020-11-11,1576.37 
2020-11-10,1576.04 
2020-11-09,1566.07 
2020-11-08,1566.09 
2020-11-07,1566.11 
2020-11-06,1563.65 
2020-11-05,1542.70 
2020-11-04,1537.70 
2020-11-03,1522.15 
2020-11-02,1511.29 
2020-11-01,1511.31 
2020-10-31,1511.33 
2020-10-30,1533.36 
2020-10-29,1542.49 
2020-10-28,1538.38 
2020-10-27,1544.70 
2020-10-26,1546.94 
2020-10-25,1546.96 
2020-10-24,1546.98 
2020-10-23,1543.51 
2020-10-22,1550.82 
2020-10-21,1548.52 
2020-10-20,1540.45 
2020-10-19,1539.77 
2020-10-18,1539.79 
2020-10-17,1539.81 
2020-10-16,1544.18 
2020-10-15,1551.21 
2020-10-14,1558.46 
2020-10-13,1558.35 
2020-10-12,1554.45 
2020-10-11,1554.47 
2020-10-10,1554.49 
2020-10-09,1554.50 
2020-10-08,1553.86 
2020-10-07,1546.81 
2020-10-06,1546.24 
2020-10-05,1534.49 
2020-10-04,1534.51 
2020-10-03,1534.53 
2020-10-02,1534.55 
2020-10-01,1534.56 
2020-09-30,1534.58 
2020-09-29,1527.63 
2020-09-28,1516.01 
2020-09-27,1516.03 
2020-09-26,1516.05 
2020-09-25,1510.31 
2020-09-24,1530.52 
2020-09-23,1526.71 
2020-09-22,1546.94 
2020-09-21,1555.14 
2020-09-20,1555.16 
2020-09-19,1555.18 
2020-09-18,1552.89 
2020-09-17,1564.88 
2020-09-16,1567.41 
2020-09-15,1560.12 
2020-09-14,1548.18 
2020-09-13,1548.20 
2020-09-12,1548.22 
2020-09-11,1548.26 
