date,rate
2020-12-08,1099.70 
2020-12-07,1089.00 
2020-12-06,1089.02 
2020-12-05,1089.03 
2020-12-04,1082.54 
2020-12-03,1068.53 
2020-12-02,1052.03 
2020-12-01,1069.25 
2020-11-30,1068.34 
2020-11-29,1068.36 
2020-11-28,1068.37 
2020-11-27,1062.49 
2020-11-26,1070.77 
2020-11-25,1065.72 
2020-11-24,1046.07 
2020-11-23,1043.37 
2020-11-22,1043.39 
2020-11-21,1043.40 
2020-11-20,1046.03 
2020-11-19,1048.63 
2020-11-18,1049.42 
2020-11-17,1029.23 
2020-11-16,1025.92 
2020-11-15,1025.94 
2020-11-14,1025.95 
2020-11-13,1028.46 
2020-11-12,1014.68 
2020-11-11,1006.29 
2020-11-10,992.48 
2020-11-09,993.60 
2020-11-08,993.61 
2020-11-07,993.63 
2020-11-06,974.57 
2020-11-05,975.40 
2020-11-04,960.92 
2020-11-03,948.35 
2020-11-02,970.51 
2020-11-01,970.52 
2020-10-31,970.53 
2020-10-30,983.02 
2020-10-29,978.52 
2020-10-28,982.67 
2020-10-27,991.61 
2020-10-26,987.41 
2020-10-25,987.42 
2020-10-24,987.44 
2020-10-23,988.60 
2020-10-22,982.67 
2020-10-21,975.53 
2020-10-20,972.12 
2020-10-19,981.07 
2020-10-18,981.09 
2020-10-17,981.10 
2020-10-16,981.39 
2020-10-15,989.86 
2020-10-14,987.61 
2020-10-13,984.56 
2020-10-12,982.37 
2020-10-11,982.38 
2020-10-10,982.40 
2020-10-09,982.41 
2020-10-08,973.86 
2020-10-07,973.74 
2020-10-06,959.04 
2020-10-05,949.25 
2020-10-04,949.26 
2020-10-03,949.27 
2020-10-02,949.29 
2020-10-01,949.30 
2020-09-30,949.32 
2020-09-29,938.21 
2020-09-28,933.81 
2020-09-27,933.83 
2020-09-26,933.84 
2020-09-25,953.20 
2020-09-24,952.36 
2020-09-23,971.73 
2020-09-22,978.34 
2020-09-21,979.88 
2020-09-20,979.90 
2020-09-19,979.91 
2020-09-18,990.92 
2020-09-17,994.97 
2020-09-16,990.54 
2020-09-15,975.89 
2020-09-14,974.31 
2020-09-13,974.33 
2020-09-12,974.34 
2020-09-11,962.37 
2020-09-10,969.37 
2020-09-09,964.88 
2020-09-08,953.35 
2020-09-07,960.35 
2020-09-06,960.36 
2020-09-05,960.37 
2020-09-04,948.98 
2020-09-03,943.87 
2020-09-02,936.43 
2020-09-01,945.96 
2020-08-31,939.33 
2020-08-30,939.35 
2020-08-29,950.59 
2020-08-28,950.84 
2020-08-27,932.92 
2020-08-26,926.08 
2020-08-25,912.47 
2020-08-24,912.47 
2020-08-23,912.49 
2020-08-22,912.50 
2020-08-21,950.36 
2020-08-20,944.15 
2020-08-19,972.74 
2020-08-18,981.77 
2020-08-17,981.78 
2020-08-16,981.80 
2020-08-15,981.81 
2020-08-14,983.02 
2020-08-13,982.56 
2020-08-12,973.83 
2020-08-11,956.22 
2020-08-10,949.00 
2020-08-09,948.99 
2020-08-08,949.00 
2020-08-07,934.15 
2020-08-06,924.22 
2020-08-05,911.22 
2020-08-04,911.17 
2020-08-03,919.81 
2020-08-02,919.82 
2020-08-01,919.83 
2020-07-31,915.95 
2020-07-30,911.40 
2020-07-29,898.16 
2020-07-28,887.63 
2020-07-27,893.01 
2020-07-26,893.02 
2020-07-25,893.04 
2020-07-24,895.47 
2020-07-23,895.71 
2020-07-22,886.35 
2020-07-21,884.98 
2020-07-20,878.60 
2020-07-19,878.62 
2020-07-18,878.63 
2020-07-17,879.92 
2020-07-16,870.15 
2020-07-15,868.98 
2020-07-14,855.74 
2020-07-13,864.69 
2020-07-12,864.70 
2020-07-11,863.70 
2020-07-10,863.70 
2020-07-09,866.23 
2020-07-08,876.34 
2020-07-07,863.84 
2020-07-06,858.65 
2020-07-05,858.66 
2020-07-04,850.91 
2020-07-03,850.91 
2020-07-02,848.02 
2020-07-01,843.56 
2020-06-30,858.54 
2020-06-29,850.66 
2020-06-28,850.68 
2020-06-27,850.69 
2020-06-26,868.03 
2020-06-25,856.62 
2020-06-24,856.90 
2020-06-23,864.43 
2020-06-22,861.75 
2020-06-21,861.76 
2020-06-20,861.77 
2020-06-19,861.30 
2020-06-18,858.21 
2020-06-17,822.42 
2020-06-16,861.18 
2020-06-15,882.66 
2020-06-14,882.68 
2020-06-13,882.69 
2020-06-12,894.95 
2020-06-11,894.83 
2020-06-10,897.31 
2020-06-09,894.39 
2020-06-08,884.46 
2020-06-07,884.47 
2020-06-06,884.48 
2020-06-05,886.17 
2020-06-04,861.61 
2020-06-03,850.19 
2020-06-02,834.40 
2020-06-01,839.00 
2020-05-31,839.02 
2020-05-30,839.03 
2020-05-29,842.28 
2020-05-28,840.45 
2020-05-27,826.67 
2020-05-26,818.08 
2020-05-25,830.82 
2020-05-24,830.83 
2020-05-23,830.84 
2020-05-22,826.25 
2020-05-21,824.92 
2020-05-20,804.37 
2020-05-19,799.31 
2020-05-18,799.31 
2020-05-17,793.08 
2020-05-16,793.09 
2020-05-15,800.93 
2020-05-14,797.66 
2020-05-13,806.65 
2020-05-12,811.95 
2020-05-11,805.01 
2020-05-10,805.02 
2020-05-09,805.03 
2020-05-08,805.67 
2020-05-07,796.99 
2020-05-06,813.79 
2020-05-05,813.80 
2020-05-04,808.41 
2020-05-03,808.42 
2020-05-02,808.43 
2020-05-01,808.45 
