date,date
2020-12-08,1423.70 
2020-12-07,1419.40 
2020-12-06,1419.38 
2020-12-05,1419.37 
2020-12-04,1424.71 
2020-12-03,1425.08 
2020-12-02,1417.93 
2020-12-01,1424.10 
2020-11-30,1421.81 
2020-11-29,1421.80 
2020-11-28,1421.79 
2020-11-27,1421.99 
2020-11-26,1424.38 
2020-11-25,1420.42 
2020-11-24,1419.71 
2020-11-23,1420.85 
2020-11-22,1420.84 
2020-11-21,1420.82 
2020-11-20,1418.84 
2020-11-19,1416.57 
2020-11-18,1417.28 
2020-11-17,1413.82 
2020-11-16,1410.51 
2020-11-15,1410.49 
2020-11-14,1410.48 
2020-11-13,1414.73 
2020-11-12,1408.84 
2020-11-11,1405.85 
2020-11-10,1395.79 
2020-11-09,1397.36 
2020-11-08,1397.34 
2020-11-07,1397.33 
2020-11-06,1392.92 
2020-11-05,1388.57 
2020-11-04,1376.18 
2020-11-03,1371.01 
2020-11-02,1374.27 
2020-11-01,1374.26 
2020-10-31,1374.25 
2020-10-30,1372.75 
2020-10-29,1386.68 
2020-10-28,1389.36 
2020-10-27,1399.40 
2020-10-26,1397.77 
2020-10-25,1397.76 
2020-10-24,1397.75 
2020-10-23,1397.13 
2020-10-22,1400.23 
2020-10-21,1401.50 
2020-10-20,1404.79 
2020-10-19,1403.37 
2020-10-18,1403.36 
2020-10-17,1403.36 
2020-10-16,1407.97 
2020-10-15,1408.96 
2020-10-14,1414.54 
2020-10-13,1411.22 
2020-10-12,1406.68 
2020-10-11,1406.67 
2020-10-10,1406.66 
2020-10-09,1406.65 
2020-10-08,1405.58 
2020-10-07,1411.99 
2020-10-06,1407.70 
2020-10-05,1410.18 
2020-10-04,1410.17 
2020-10-03,1410.16 
2020-10-02,1410.15 
2020-10-01,1410.14 
2020-09-30,1410.13 
2020-09-29,1404.89 
2020-09-28,1402.92 
2020-09-27,1402.91 
2020-09-26,1402.90 
2020-09-25,1403.44 
2020-09-24,1404.90 
2020-09-23,1405.19 
2020-09-22,1413.79 
2020-09-21,1417.39 
2020-09-20,1417.38 
2020-09-19,1417.37 
2020-09-18,1421.75 
2020-09-17,1422.68 
2020-09-16,1420.71 
2020-09-15,1419.93 
2020-09-14,1417.02 
2020-09-13,1417.01 
2020-09-12,1417.00 
2020-09-11,1422.12 
2020-09-10,1414.77 
2020-09-09,1418.15 
2020-09-08,1417.45 
2020-09-07,1418.18 
2020-09-06,1418.17 
2020-09-05,1418.16 
2020-09-04,1427.67 
2020-09-03,1421.12 
2020-09-02,1420.18 
2020-09-01,1425.63 
2020-08-31,1423.11 
2020-08-30,1423.09 
2020-08-29,1429.45 
2020-08-28,1427.18 
2020-08-27,1426.65 
2020-08-26,1422.67 
2020-08-25,1423.54 
2020-08-24,1423.54 
2020-08-23,1423.53 
2020-08-22,1423.52 
2020-08-21,1426.06 
2020-08-20,1427.17 
2020-08-19,1428.10 
2020-08-18,1427.84 
2020-08-17,1427.83 
2020-08-16,1427.82 
2020-08-15,1427.81 
2020-08-14,1430.21 
2020-08-13,1421.42 
2020-08-12,1420.78 
2020-08-11,1420.01 
2020-08-10,1422.00 
2020-08-09,1422.01 
2020-08-08,1422.00 
2020-08-07,1421.53 
2020-08-06,1421.30 
2020-08-05,1421.35 
2020-08-04,1414.00 
2020-08-03,1421.52 
2020-08-02,1421.51 
2020-08-01,1421.50 
2020-07-31,1428.25 
2020-07-30,1421.72 
2020-07-29,1424.52 
2020-07-28,1420.56 
2020-07-27,1425.48 
2020-07-26,1425.47 
2020-07-25,1425.46 
2020-07-24,1427.26 
2020-07-23,1423.42 
2020-07-22,1422.68 
2020-07-21,1422.23 
2020-07-20,1419.57 
2020-07-19,1419.56 
2020-07-18,1419.56 
2020-07-17,1420.04 
2020-07-16,1412.11 
2020-07-15,1407.80 
2020-07-14,1408.67 
2020-07-13,1406.86 
2020-07-12,1406.86 
2020-07-11,1409.32 
2020-07-10,1409.32 
2020-07-09,1405.51 
2020-07-08,1410.99 
2020-07-07,1403.55 
2020-07-06,1405.40 
2020-07-05,1405.39 
2020-07-04,1402.88 
2020-07-03,1402.88 
2020-07-02,1400.56 
2020-07-01,1400.50 
2020-06-30,1396.73 
2020-06-29,1404.14 
2020-06-28,1404.13 
2020-06-27,1404.12 
2020-06-26,1399.87 
2020-06-25,1407.46 
2020-06-24,1407.05 
2020-06-23,1404.86 
2020-06-22,1405.94 
2020-06-21,1405.93 
2020-06-20,1405.92 
2020-06-19,1407.35 
2020-06-18,1403.32 
2020-06-17,1399.43 
2020-06-16,1398.15 
2020-06-15,1399.07 
2020-06-14,1399.06 
2020-06-13,1399.05 
2020-06-12,1412.86 
2020-06-11,1414.98 
2020-06-10,1417.67 
2020-06-09,1409.09 
2020-06-08,1407.66 
2020-06-07,1407.65 
2020-06-06,1407.64 
2020-06-05,1402.18 
2020-06-04,1395.18 
2020-06-03,1393.57 
2020-06-02,1393.41 
2020-06-01,1390.72 
2020-05-31,1390.71 
2020-05-30,1390.70 
2020-05-29,1388.31 
2020-05-28,1386.06 
2020-05-27,1381.21 
2020-05-26,1381.64 
2020-05-25,1382.75 
2020-05-24,1382.74 
2020-05-23,1382.73 
2020-05-22,1377.98 
2020-05-21,1379.17 
2020-05-20,1367.50 
2020-05-19,1365.80 
2020-05-18,1365.80 
2020-05-17,1371.52 
2020-05-16,1371.51 
2020-05-15,1376.45 
2020-05-14,1375.73 
2020-05-13,1376.18 
2020-05-12,1372.46 
2020-05-11,1371.58 
2020-05-10,1371.57 
2020-05-09,1371.56 
2020-05-08,1370.30 
2020-05-07,1372.27 
2020-05-06,1373.63 
2020-05-05,1373.61 
2020-05-04,1367.16 
2020-05-03,1367.15 
2020-05-02,1367.13 
2020-05-01,1367.12 
2020-04-30,1367.10 
2020-04-29,1359.79 
2020-04-28,1362.04 
2020-04-27,1362.39 
2020-04-26,1362.38 
2020-04-25,1362.37 
2020-04-24,1356.85 
2020-04-23,1364.33 
