date,date
2020-12-08,1471.2
2020-12-07,1462.36
2020-12-06,1462.38
2020-12-05,1462.4
2020-12-04,1445.08
2020-12-03,1434.97
2020-12-02,1419.58
2020-12-01,1403.52
2020-11-30,1419.08
2020-11-29,1419.1
2020-11-28,1419.12
2020-11-27,1415.74
2020-11-26,1405.97
2020-11-25,1411.21
2020-11-24,1406.32
2020-11-23,1385.15
2020-11-22,1385.17
2020-11-21,1385.19
2020-11-20,1384.22
2020-11-19,1383.09
2020-11-18,1382.47
2020-11-17,1384.27
2020-11-16,1364.02
2020-11-15,1364.04
2020-11-14,1364.06
2020-11-13,1355.52
2020-11-12,1358.29
2020-11-11,1346.28
2020-11-10,1346.61
2020-11-09,1336.5
2020-11-08,1336.52
2020-11-07,1336.54
2020-11-06,1336.15
2020-11-05,1315.43
2020-11-04,1309.63
2020-11-03,1292.48
2020-11-02,1280.99
2020-11-01,1281
2020-10-31,1281.02
2020-10-30,1304.48
2020-10-29,1310.8
2020-10-28,1306.64
2020-10-27,1312.58
2020-10-26,1316.58
2020-10-25,1316.6
2020-10-24,1316.62
2020-10-23,1314.16
2020-10-22,1320.9
2020-10-21,1318.14
2020-10-20,1312.36
2020-10-19,1311.09
2020-10-18,1311.11
2020-10-17,1311.12
2020-10-16,1317.04
2020-10-15,1324.71
2020-10-14,1332.87
2020-10-13,1332.39
2020-10-12,1329.44
2020-10-11,1329.46
2020-10-10,1329.47
2020-10-09,1329.49
2020-10-08,1328.28
2020-10-07,1320.65
2020-10-06,1318.66
2020-10-05,1308.75
2020-10-04,1308.77
2020-10-03,1308.79
2020-10-02,1308.81
2020-10-01,1308.82
2020-09-30,1308.84
2020-09-29,1300.9
2020-09-28,1287.99
2020-09-27,1288
2020-09-26,1288.02
2020-09-25,1285.38
2020-09-24,1305.66
2020-09-23,1302.39
2020-09-22,1323.63
2020-09-21,1331.78
2020-09-20,1331.8
2020-09-19,1331.82
2020-09-18,1329.13
2020-09-17,1340.74
2020-09-16,1342.4
2020-09-15,1334.82
2020-09-14,1323.97
2020-09-13,1323.99
2020-09-12,1324.01
2020-09-11,1324.57
2020-09-10,1314.98
2020-09-09,1325.92
2020-09-08,1315.97
2020-09-07,1308.93
2020-09-06,1308.94
