date,rate
2020-12-08,975.46 
2020-12-07,973.92 
2020-12-06,973.94 
2020-12-05,973.95 
2020-12-04,967.58 
2020-12-03,963.97 
2020-12-02,958.58 
2020-12-01,954.01 
2020-11-30,959.58 
2020-11-29,959.60 
2020-11-28,959.61 
2020-11-27,960.08 
2020-11-26,956.15 
2020-11-25,956.98 
2020-11-24,956.33 
2020-11-23,949.92 
2020-11-22,949.93 
2020-11-21,949.94 
2020-11-20,949.46 
2020-11-19,949.63 
2020-11-18,950.42 
2020-11-17,949.99 
2020-11-16,946.18 
2020-11-15,946.19 
2020-11-14,946.20 
2020-11-13,944.75 
2020-11-12,946.14 
2020-11-11,942.28 
2020-11-10,943.21 
2020-11-09,939.98 
2020-11-08,939.99 
2020-11-07,940.00 
2020-11-06,939.41 
2020-11-05,935.55 
2020-11-04,932.83 
2020-11-03,927.46 
2020-11-02,924.72 
2020-11-01,924.74 
2020-10-31,924.75 
2020-10-30,932.99 
2020-10-29,937.33 
2020-10-28,936.13 
2020-10-27,937.63 
2020-10-26,939.83 
2020-10-25,939.84 
2020-10-24,939.85 
2020-10-23,938.92 
2020-10-22,941.77 
2020-10-21,940.48 
2020-10-20,939.05 
2020-10-19,938.01 
2020-10-18,938.02 
2020-10-17,938.03 
2020-10-16,939.82 
2020-10-15,940.83 
2020-10-14,944.08 
2020-10-13,944.02 
2020-10-12,943.16 
2020-10-11,943.18 
2020-10-10,943.19 
2020-10-09,943.20 
2020-10-08,943.11 
2020-10-07,941.84 
2020-10-06,939.91 
2020-10-05,938.57 
2020-10-04,938.59 
2020-10-03,938.60 
2020-10-02,938.61 
2020-10-01,938.63 
2020-09-30,938.64 
2020-09-29,935.72 
2020-09-28,933.29 
2020-09-27,933.31 
2020-09-26,933.32 
2020-09-25,931.00 
2020-09-24,937.13 
2020-09-23,937.21 
2020-09-22,946.86 
2020-09-21,949.18 
2020-09-20,949.20 
2020-09-19,949.21 
2020-09-18,946.42 
2020-09-17,950.96 
2020-09-16,950.54 
2020-09-15,948.04 
2020-09-14,944.68 
2020-09-13,944.70 
2020-09-12,944.71 
2020-09-11,945.53 
2020-09-10,941.72 
2020-09-09,946.91 
2020-09-08,944.13 
2020-09-07,944.39 
2020-09-06,944.40 
2020-09-05,944.42 
2020-09-04,948.20 
2020-09-03,946.56 
2020-09-02,945.38 
2020-09-01,943.27 
2020-08-31,945.95 
2020-08-30,945.97 
2020-08-29,945.39 
2020-08-28,946.50 
2020-08-27,946.60 
2020-08-26,943.33 
2020-08-25,941.37 
2020-08-24,941.37 
2020-08-23,941.38 
2020-08-22,941.39 
2020-08-21,937.29 
2020-08-20,949.92 
2020-08-19,948.77 
2020-08-18,952.70 
2020-08-17,952.72 
2020-08-16,952.73 
2020-08-15,952.74 
2020-08-14,955.43 
2020-08-13,953.90 
2020-08-12,955.26 
2020-08-11,952.70 
2020-08-10,950.12 
2020-08-09,950.11 
2020-08-08,950.12 
2020-08-07,949.16 
2020-08-06,944.66 
2020-08-05,940.19 
2020-08-04,936.98 
2020-08-03,937.42 
2020-08-02,937.43 
2020-08-01,937.44 
2020-07-31,939.62 
2020-07-30,939.23 
2020-07-29,938.11 
2020-07-28,933.31 
2020-07-27,930.21 
2020-07-26,930.22 
2020-07-25,930.23 
2020-07-24,931.97 
2020-07-23,932.57 
2020-07-22,931.67 
2020-07-21,927.68 
2020-07-20,928.58 
2020-07-19,928.59 
2020-07-18,928.60 
2020-07-17,927.58 
2020-07-16,929.17 
2020-07-15,926.45 
2020-07-14,927.49 
2020-07-13,922.61 
2020-07-12,922.63 
2020-07-11,926.61 
2020-07-10,926.61 
2020-07-09,924.79 
2020-07-08,924.93 
2020-07-07,927.36 
2020-07-06,924.31 
2020-07-05,924.32 
2020-07-04,922.01 
2020-07-03,922.01 
2020-07-02,920.20 
2020-07-01,920.22 
2020-06-30,916.72 
2020-06-29,919.85 
2020-06-28,919.87 
2020-06-27,919.88 
2020-06-26,917.14 
2020-06-25,922.83 
2020-06-24,920.18 
2020-06-23,919.05 
2020-06-22,919.58 
2020-06-21,919.59 
2020-06-20,919.61 
2020-06-19,918.12 
2020-06-18,918.77 
2020-06-17,918.65 
2020-06-16,905.89 
2020-06-15,914.35 
2020-06-14,914.36 
2020-06-13,914.37 
2020-06-12,919.38 
2020-06-11,921.44 
2020-06-10,920.84 
2020-06-09,921.74 
2020-06-08,920.95 
2020-06-07,920.97 
2020-06-06,920.98 
2020-06-05,918.50 
2020-06-04,919.19 
2020-06-03,914.47 
2020-06-02,913.30 
2020-06-01,910.75 
2020-05-31,910.76 
2020-05-30,910.77 
2020-05-29,910.08 
2020-05-28,910.47 
2020-05-27,910.84 
2020-05-26,908.89 
2020-05-25,908.00 
2020-05-24,908.01 
2020-05-23,908.02 
2020-05-22,908.81 
2020-05-21,908.41 
2020-05-20,908.35 
2020-05-19,907.41 
2020-05-18,907.41 
2020-05-17,906.86 
2020-05-16,906.87 
2020-05-15,906.24 
2020-05-14,906.64 
2020-05-13,906.37 
2020-05-12,906.74 
2020-05-11,906.98 
2020-05-10,906.99 
2020-05-09,907.00 
2020-05-08,906.55 
2020-05-07,906.74 
2020-05-06,905.55 
2020-05-05,905.56 
2020-05-04,906.39 
2020-05-03,906.40 
2020-05-02,906.41 
2020-05-01,906.43 
2020-04-30,906.44 
2020-04-29,906.12 
2020-04-28,906.21 
2020-04-27,905.82 
2020-04-26,905.83 
2020-04-25,905.84 
2020-04-24,906.62 
2020-04-23,905.46 
2020-04-22,906.46 
2020-04-21,906.94 
2020-04-20,907.61 
2020-04-19,907.63 
2020-04-18,907.64 
2020-04-17,906.84 
2020-04-16,907.34 
2020-04-15,907.35 
2020-04-14,906.43 
2020-04-13,906.96 
2020-04-12,906.97 
2020-04-11,906.99 
2020-04-10,906.36 
2020-04-09,905.89 
2020-04-08,906.64 
2020-04-07,905.71 
2020-04-06,903.43 
2020-04-05,903.45 
2020-04-04,903.46 
2020-04-03,903.22 
2020-04-02,901.59 
2020-04-01,903.69 
2020-03-31,902.78 
2020-03-30,903.93 
2020-03-29,903.94 
2020-03-28,903.96 
2020-03-27,903.11 
2020-03-26,904.50 
2020-03-25,901.79 
2020-03-24,897.41 
2020-03-23,900.95 
2020-03-22,900.96 
2020-03-21,900.97 
2020-03-20,896.50 
2020-03-19,901.78 
2020-03-18,905.86 
2020-03-17,907.72 
2020-03-16,910.59 
2020-03-15,910.60 
2020-03-14,910.61 
2020-03-13,914.21 
2020-03-12,919.48 
2020-03-11,921.37 
2020-03-10,920.13 
2020-03-09,933.35 
2020-03-08,933.36 
2020-03-07,933.37 
2020-03-06,936.40 
2020-03-05,935.32 
2020-03-04,931.08 
2020-03-03,929.88 
2020-03-02,928.03 
2020-03-01,928.04 
2020-02-29,928.05 
2020-02-28,940.84 
2020-02-27,945.70 
2020-02-26,951.72 
2020-02-25,950.27 
2020-02-24,962.10 
2020-02-23,962.11 
2020-02-22,962.12 
2020-02-21,966.42 
2020-02-20,966.15 
2020-02-19,963.87 
2020-02-18,970.13 
2020-02-17,969.08 
2020-02-16,969.10 
2020-02-15,969.11 
2020-02-14,967.07 
2020-02-13,966.85 
2020-02-12,964.53 
2020-02-11,962.49 
2020-02-10,964.80 
2020-02-09,964.81 
2020-02-08,964.82 
2020-02-07,968.83 
2020-02-06,957.24 
2020-02-05,957.02 
2020-02-04,953.39 
2020-02-03,954.75 
2020-02-02,954.76 
2020-02-01,954.77 
2020-01-31,958.58 
2020-01-30,965.95 
2020-01-29,964.24 
2020-01-28,976.68 
2020-01-27,976.69 
2020-01-26,976.70 
2020-01-25,976.71 
2020-01-24,976.72 
2020-01-23,983.73 
2020-01-22,979.82 
2020-01-21,985.08 
2020-01-20,981.33 
2020-01-19,981.34 
2020-01-18,981.35 
2020-01-17,980.22 
2020-01-16,976.27 
2020-01-15,977.89 
2020-01-14,977.93 
2020-01-13,974.32 
2020-01-12,974.33 
2020-01-11,974.34 
2020-01-10,972.02 
2020-01-09,972.47 
2020-01-08,972.46 
2020-01-07,971.91 
2020-01-06,970.73 
2020-01-05,970.74 
2020-01-04,970.75 
2020-01-03,967.91 
2020-01-02,972.07 
2020-01-01,972.08 
2019-12-31,972.09 
2019-12-30,972.07 
2019-12-29,972.09 
2019-12-28,972.10 
2019-12-27,966.57 
2019-12-26,964.45 
2019-12-25,964.46 
2019-12-24,965.49 
2019-12-23,966.33 
2019-12-22,966.34 
2019-12-21,966.35 
2019-12-20,965.52 
2019-12-19,964.52 
2019-12-18,964.59 
2019-12-17,960.20 
2019-12-16,959.57 
2019-12-15,959.58 
2019-12-14,959.60 
2019-12-13,955.45 
2019-12-12,950.48 
2019-12-11,949.73 
2019-12-10,948.29 
2019-12-09,946.74 
2019-12-08,946.75 
2019-12-07,946.76 
2019-12-06,943.12 
2019-12-05,942.43 
2019-12-04,943.62 
2019-12-03,944.79 
2019-12-02,946.23 
2019-12-01,946.25 
2019-11-30,946.26 
2019-11-29,950.50 
2019-11-28,952.06 
2019-11-27,951.42 
2019-11-26,951.32 
2019-11-25,948.87 
2019-11-24,948.88 
2019-11-23,948.89 
2019-11-22,946.47 
2019-11-21,949.22 
2019-11-20,954.23 
2019-11-19,956.17 
2019-11-18,955.86 
2019-11-17,955.87 
2019-11-16,955.88 
2019-11-15,952.34 
2019-11-14,949.05 
2019-11-13,951.39 
2019-11-12,948.71 
2019-11-11,951.26 
2019-11-10,951.27 
2019-11-09,951.28 
2019-11-08,952.95 
2019-11-07,953.97 
2019-11-06,953.85 
2019-11-05,951.70 
2019-11-04,946.57 
2019-11-03,946.58 
2019-11-02,946.59 
2019-11-01,945.18 
2019-10-31,943.90 
2019-10-30,946.29 
2019-10-29,948.17 
2019-10-28,946.72 
2019-10-27,946.73 
2019-10-26,946.74 
2019-10-25,945.78 
2019-10-24,943.56 
2019-10-23,944.04 
2019-10-22,941.58 
2019-10-21,940.37 
2019-10-20,940.38 
2019-10-19,940.39 
2019-10-18,941.59 
2019-10-17,942.31 
2019-10-16,941.51 
2019-10-15,942.17 
2019-10-14,940.67 
2019-10-13,940.68 
2019-10-12,940.69 
2019-10-11,937.13 
2019-10-10,938.84 
2019-10-09,938.85 
2019-10-08,935.65 
2019-10-07,935.66 
2019-10-06,935.67 
2019-10-05,935.68 
2019-10-04,936.60 
2019-10-03,936.61 
2019-10-02,942.06 
2019-10-01,944.24 
2019-09-30,942.30 
2019-09-29,942.31 
2019-09-28,942.32 
