date,rate
2020-12-08,994.59 
2020-12-07,990.81 
2020-12-06,990.79 
2020-12-05,990.77 
2020-12-04,989.69 
2020-12-03,985.35 
2020-12-02,983.37 
2020-12-01,986.49 
2020-11-30,986.58 
2020-11-29,986.56 
2020-11-28,986.54 
2020-11-27,984.24 
2020-11-26,986.00 
2020-11-25,985.76 
2020-11-24,981.69 
2020-11-23,980.95 
2020-11-22,980.94 
2020-11-21,980.92 
2020-11-20,980.97 
2020-11-19,981.42 
2020-11-18,981.44 
2020-11-17,977.49 
2020-11-16,975.91 
2020-11-15,975.89 
2020-11-14,975.87 
2020-11-13,975.94 
2020-11-12,972.95 
2020-11-11,973.84 
2020-11-10,973.57 
2020-11-09,973.64 
2020-11-08,973.62 
2020-11-07,973.60 
2020-11-06,971.65 
2020-11-05,969.73 
2020-11-04,966.70 
2020-11-03,966.47 
2020-11-02,970.97 
2020-11-01,970.95 
2020-10-31,970.93 
2020-10-30,973.03 
2020-10-29,972.97 
2020-10-28,973.40 
2020-10-27,974.63 
2020-10-26,974.10 
2020-10-25,974.09 
2020-10-24,974.07 
2020-10-23,974.52 
2020-10-22,973.72 
2020-10-21,974.08 
2020-10-20,974.60 
2020-10-19,974.85 
2020-10-18,974.83 
2020-10-17,974.82 
2020-10-16,976.78 
2020-10-15,977.01 
2020-10-14,976.27 
2020-10-13,975.22 
2020-10-12,975.90 
2020-10-11,975.88 
2020-10-10,975.87 
2020-10-09,975.85 
2020-10-08,974.70 
2020-10-07,974.73 
2020-10-06,975.02 
2020-10-05,975.01 
2020-10-04,974.99 
2020-10-03,974.98 
2020-10-02,974.97 
2020-10-01,974.95 
2020-09-30,974.94 
2020-09-29,972.98 
2020-09-28,972.91 
2020-09-27,972.90 
2020-09-26,972.88 
2020-09-25,975.91 
2020-09-24,974.52 
2020-09-23,977.49 
2020-09-22,978.21 
2020-09-21,977.95 
2020-09-20,977.94 
2020-09-19,977.92 
2020-09-18,979.96 
2020-09-17,980.56 
2020-09-16,979.35 
2020-09-15,976.91 
2020-09-14,976.55 
2020-09-13,976.54 
2020-09-12,976.52 
2020-09-11,975.88 
2020-09-10,978.15 
2020-09-09,975.04 
2020-09-08,973.40 
2020-09-07,976.36 
2020-09-06,976.34 
2020-09-05,976.33 
2020-09-04,974.21 
2020-09-03,973.57 
2020-09-02,971.61 
2020-09-01,974.65 
2020-08-31,975.67 
2020-08-30,975.64 
2020-08-29,978.19 
2020-08-28,978.28 
2020-08-27,976.38 
2020-08-26,974.81 
2020-08-25,971.47 
2020-08-24,971.47 
2020-08-23,971.45 
2020-08-22,971.44 
2020-08-21,979.01 
2020-08-20,979.03 
2020-08-19,982.67 
2020-08-18,984.35 
2020-08-17,984.34 
2020-08-16,984.32 
2020-08-15,984.31 
2020-08-14,984.75 
2020-08-13,983.14 
2020-08-12,981.12 
2020-08-11,978.25 
2020-08-10,978.28 
2020-08-09,978.29 
2020-08-08,978.28 
2020-08-07,975.89 
2020-08-06,974.44 
2020-08-05,972.45 
2020-08-04,973.24 
2020-08-03,974.41 
2020-08-02,974.40 
2020-08-01,974.39 
2020-07-31,974.00 
2020-07-30,973.10 
2020-07-29,968.74 
2020-07-28,967.81 
2020-07-27,968.65 
2020-07-26,968.64 
2020-07-25,968.62 
2020-07-24,969.39 
2020-07-23,969.77 
2020-07-22,967.32 
2020-07-21,968.37 
2020-07-20,967.10 
2020-07-19,967.09 
2020-07-18,967.08 
2020-07-17,968.11 
2020-07-16,966.00 
2020-07-15,965.96 
2020-07-14,963.90 
2020-07-13,965.29 
2020-07-12,965.28 
2020-07-11,964.90 
2020-07-10,964.90 
2020-07-09,965.66 
2020-07-08,966.90 
2020-07-07,964.48 
2020-07-06,964.51 
2020-07-05,964.50 
2020-07-04,963.37 
2020-07-03,963.37 
2020-07-02,963.04 
2020-07-01,962.68 
2020-06-30,964.70 
2020-06-29,964.04 
2020-06-28,964.03 
2020-06-27,964.02 
2020-06-26,967.00 
2020-06-25,964.49 
2020-06-24,964.39 
2020-06-23,964.88 
2020-06-22,964.65 
2020-06-21,964.63 
2020-06-20,964.62 
2020-06-19,965.70 
2020-06-18,964.12 
2020-06-17,959.08 
2020-06-16,963.20 
2020-06-15,966.90 
2020-06-14,966.89 
2020-06-13,966.88 
2020-06-12,969.08 
2020-06-11,968.81 
2020-06-10,968.61 
2020-06-09,967.00 
2020-06-08,964.67 
2020-06-07,964.66 
2020-06-06,964.64 
2020-06-05,964.71 
2020-06-04,960.49 
2020-06-03,960.49 
2020-06-02,959.10 
2020-06-01,959.70 
2020-05-31,959.69 
2020-05-30,959.68 
2020-05-29,959.21 
2020-05-28,958.64 
2020-05-27,957.78 
2020-05-26,958.05 
2020-05-25,958.21 
2020-05-24,958.20 
2020-05-23,958.18 
2020-05-22,957.52 
2020-05-21,957.09 
2020-05-20,955.95 
2020-05-19,955.62 
2020-05-18,955.62 
2020-05-17,955.86 
2020-05-16,955.85 
2020-05-15,955.87 
2020-05-14,955.69 
2020-05-13,955.28 
2020-05-12,954.55 
2020-05-11,954.88 
2020-05-10,954.87 
2020-05-09,954.85 
2020-05-08,954.12 
2020-05-07,953.09 
2020-05-06,954.30 
2020-05-05,954.28 
2020-05-04,953.17 
2020-05-03,953.15 
2020-05-02,953.13 
2020-05-01,953.12 
2020-04-30,953.10 
2020-04-29,952.28 
2020-04-28,951.59 
2020-04-27,952.64 
2020-04-26,952.62 
2020-04-25,952.60 
2020-04-24,951.57 
2020-04-23,951.14 
2020-04-22,952.24 
2020-04-21,952.98 
2020-04-20,951.98 
2020-04-19,951.96 
2020-04-18,951.94 
2020-04-17,952.56 
2020-04-16,951.82 
2020-04-15,951.80 
2020-04-14,951.95 
2020-04-13,952.53 
2020-04-12,952.51 
2020-04-11,952.50 
2020-04-10,952.01 
2020-04-09,950.97 
2020-04-08,949.59 
2020-04-07,949.19 
2020-04-06,948.74 
2020-04-05,948.72 
2020-04-04,948.70 
2020-04-03,948.96 
2020-04-02,948.13 
2020-04-01,948.74 
2020-03-31,947.77 
2020-03-30,949.02 
2020-03-29,949.01 
2020-03-28,948.99 
2020-03-27,949.09 
2020-03-26,946.79 
2020-03-25,945.43 
2020-03-24,944.51 
2020-03-23,946.01 
2020-03-22,945.99 
2020-03-21,945.97 
2020-03-20,944.97 
2020-03-19,951.07 
2020-03-18,953.72 
2020-03-17,952.83 
2020-03-16,949.66 
2020-03-15,949.64 
2020-03-14,949.62 
2020-03-13,954.16 
2020-03-12,954.98 
2020-03-11,954.96 
2020-03-10,958.85 
2020-03-09,958.38 
2020-03-08,958.36 
2020-03-07,958.35 
2020-03-06,958.37 
2020-03-05,957.28 
2020-03-04,955.59 
2020-03-03,955.57 
2020-03-02,957.51 
2020-03-01,957.50 
2020-02-29,957.48 
2020-02-28,954.96 
2020-02-27,957.51 
2020-02-26,955.57 
2020-02-25,960.20 
2020-02-24,961.02 
2020-02-23,961.00 
2020-02-22,960.98 
2020-02-21,959.87 
2020-02-20,958.71 
