date,rate
2020-12-08,1270.79
2020-12-07,1269.86
2020-12-06,1269.83
2020-12-05,1269.8
2020-12-04,1270.07
2020-12-03,1269.06
2020-12-02,1270.08
2020-12-01,1269.49
2020-11-30,1270.19
2020-11-29,1270.16
2020-11-28,1270.13
2020-11-27,1269.43
2020-11-26,1270.41
2020-11-25,1271.93
2020-11-24,1272.29
2020-11-23,1271.3
2020-11-22,1271.27
2020-11-21,1271.24
2020-11-20,1271.17
2020-11-19,1271.8
2020-11-18,1270.95
2020-11-17,1270.88
2020-11-16,1270.7
2020-11-15,1270.67
2020-11-14,1270.64
2020-11-13,1269.66
2020-11-12,1268.61
2020-11-11,1269.9
2020-11-10,1272.39
2020-11-09,1272.56
2020-11-08,1272.53
2020-11-07,1272.5
2020-11-06,1274.24
2020-11-05,1272.2
2020-11-04,1270.43
2020-11-03,1270.55
2020-11-02,1272.96
2020-11-01,1272.93
2020-10-31,1272.9
2020-10-30,1274.18
2020-10-29,1275.08
2020-10-28,1274.54
2020-10-27,1275.54
2020-10-26,1275.1
2020-10-25,1275.07
2020-10-24,1275.04
2020-10-23,1274.48
2020-10-22,1273.69
2020-10-21,1275.95
2020-10-20,1277.2
2020-10-19,1275.15
2020-10-18,1275.12
2020-10-17,1275.1
2020-10-16,1276.38
2020-10-15,1274.4
2020-10-14,1273.66
2020-10-13,1272.34
2020-10-12,1273.17
2020-10-11,1273.14
2020-10-10,1273.11
2020-10-09,1273.08
2020-10-08,1273.25
2020-10-07,1273.25
2020-10-06,1275.75
2020-10-05,1278.18
2020-10-04,1278.15
2020-10-03,1278.13
2020-10-02,1278.1
2020-10-01,1278.07
2020-09-30,1278.05
2020-09-29,1277.65
2020-09-28,1277.5
2020-09-27,1277.48
2020-09-26,1277.45
2020-09-25,1277.48
2020-09-24,1276.08
2020-09-23,1274.96
2020-09-22,1273.76
2020-09-21,1273.36
2020-09-20,1273.33
2020-09-19,1273.3
2020-09-18,1273.52
2020-09-17,1273.99
2020-09-16,1273.38
2020-09-15,1272.63
2020-09-14,1271.67
2020-09-13,1271.64
2020-09-12,1271.61
2020-09-11,1272.1
2020-09-10,1272.37
2020-09-09,1270.53
2020-09-08,1268.82
2020-09-07,1270.69
2020-09-06,1270.67
2020-09-05,1270.64
2020-09-04,1271.22
